sku,product_category,unit_cost,list_price,criticality
SKU00001,Heavy Equipment,754.94,966.32,Medium
SKU00002,OEM Specialty Part,89.3,165.21,High
SKU00003,OEM Specialty Part,246.64,456.28,High
SKU00004,Accessory,121.46,206.48,Medium
SKU00005,Commodity Part,68.6,92.61,Low
SKU00006,OEM Specialty Part,207.78,384.39,High
SKU00007,Accessory,68.49,116.43,Medium
SKU00008,OEM Specialty Part,147.99,273.78,High
SKU00009,Commodity Part,54.23,73.21,Low
SKU00010,Commodity Part,54.13,73.08,Low
SKU00011,Consumable,23.31,36.13,Medium
SKU00012,Consumable,2.28,3.53,Medium
SKU00013,OEM Specialty Part,243.34,450.18,High
SKU00014,OEM Specialty Part,109.27,202.15,High
SKU00015,Commodity Part,8.72,11.77,Low
SKU00016,OEM Specialty Part,172.21,318.59,High
SKU00017,Commodity Part,43.71,59.01,Low
SKU00018,Consumable,25.05,38.83,Medium
SKU00019,Accessory,120.39,204.66,Medium
SKU00020,Commodity Part,12.11,16.35,Low
SKU00021,Commodity Part,68.72,92.77,Low
SKU00022,Consumable,30.24,46.87,Medium
SKU00023,Commodity Part,21.91,29.58,Low
SKU00024,Consumable,23.92,37.08,Medium
SKU00025,Consumable,36.69,56.87,Medium
SKU00026,OEM Specialty Part,126.97,234.89,High
SKU00027,OEM Specialty Part,184.77,341.82,High
SKU00028,Accessory,112.99,192.08,Medium
SKU00029,OEM Specialty Part,212.68,393.46,High
SKU00030,Commodity Part,38.94,52.57,Low
SKU00031,Commodity Part,48.95,66.08,Low
SKU00032,Commodity Part,43.44,58.64,Low
SKU00033,OEM Specialty Part,133.11,246.25,High
SKU00034,Commodity Part,19.19,25.91,Low
SKU00035,Commodity Part,35.86,48.41,Low
SKU00036,OEM Specialty Part,122.4,226.44,High
SKU00037,Commodity Part,19.85,26.8,Low
SKU00038,Commodity Part,7.23,9.76,Low
SKU00039,Commodity Part,40.1,54.14,Low
SKU00040,Commodity Part,46.38,62.61,Low
SKU00041,Commodity Part,69.56,93.91,Low
SKU00042,OEM Specialty Part,156.02,288.64,High
SKU00043,Commodity Part,32.13,43.38,Low
SKU00044,OEM Specialty Part,35.48,65.64,High
SKU00045,Commodity Part,11.14,15.04,Low
SKU00046,OEM Specialty Part,88.98,164.61,High
SKU00047,Commodity Part,35.23,47.56,Low
SKU00048,Consumable,8.5,13.18,Medium
SKU00049,OEM Specialty Part,221.23,409.28,High
SKU00050,OEM Specialty Part,40.17,74.31,High
SKU00051,Commodity Part,46.33,62.55,Low
SKU00052,Commodity Part,53.61,72.37,Low
SKU00053,Heavy Equipment,1431.45,1832.26,Medium
SKU00054,OEM Specialty Part,156.41,289.36,High
SKU00055,OEM Specialty Part,199.94,369.89,High
SKU00056,Accessory,119.78,203.63,Medium
SKU00057,Commodity Part,17.52,23.65,Low
SKU00058,Commodity Part,55.96,75.55,Low
SKU00059,Accessory,137.73,234.14,Medium
SKU00060,Accessory,23.12,39.3,Medium
SKU00061,Consumable,15.13,23.45,Medium
SKU00062,Commodity Part,66.52,89.8,Low
SKU00063,OEM Specialty Part,83.62,154.7,High
SKU00064,OEM Specialty Part,75.83,140.29,High
SKU00065,Commodity Part,68.9,93.02,Low
SKU00066,Heavy Equipment,2592.19,3318.0,Medium
SKU00067,Commodity Part,31.04,41.9,Low
SKU00068,Consumable,37.79,58.57,Medium
SKU00069,Accessory,127.09,216.05,Medium
SKU00070,Commodity Part,44.56,60.16,Low
SKU00071,OEM Specialty Part,210.34,389.13,High
SKU00072,Commodity Part,46.42,62.67,Low
SKU00073,Consumable,23.89,37.03,Medium
SKU00074,Consumable,13.24,20.52,Medium
SKU00075,Heavy Equipment,2319.39,2968.82,Medium
SKU00076,Heavy Equipment,551.58,706.02,Medium
SKU00077,Accessory,113.41,192.8,Medium
SKU00078,Heavy Equipment,2913.91,3729.8,Medium
SKU00079,Heavy Equipment,1048.24,1341.75,Medium
SKU00080,Commodity Part,26.16,35.32,Low
SKU00081,Commodity Part,20.45,27.61,Low
SKU00082,Commodity Part,7.1,9.59,Low
SKU00083,Consumable,14.95,23.17,Medium
SKU00084,Heavy Equipment,1784.4,2284.03,Medium
SKU00085,Accessory,121.06,205.8,Medium
SKU00086,Commodity Part,61.18,82.59,Low
SKU00087,Commodity Part,45.19,61.01,Low
SKU00088,Heavy Equipment,1195.97,1530.84,Medium
SKU00089,Heavy Equipment,2740.31,3507.6,Medium
SKU00090,OEM Specialty Part,50.53,93.48,High
SKU00091,Consumable,31.03,48.1,Medium
SKU00092,OEM Specialty Part,101.0,186.85,High
SKU00093,Heavy Equipment,3452.12,4418.71,Medium
SKU00094,Commodity Part,24.67,33.3,Low
SKU00095,OEM Specialty Part,100.41,185.76,High
SKU00096,Consumable,35.23,54.61,Medium
SKU00097,Heavy Equipment,1288.15,1648.83,Medium
SKU00098,OEM Specialty Part,227.87,421.56,High
SKU00099,Accessory,12.97,22.05,Medium
SKU00100,Accessory,146.72,249.42,Medium
SKU00101,Commodity Part,63.93,86.31,Low
SKU00102,Consumable,17.54,27.19,Medium
SKU00103,Consumable,33.43,51.82,Medium
SKU00104,OEM Specialty Part,229.22,424.06,High
SKU00105,Accessory,130.74,222.26,Medium
SKU00106,OEM Specialty Part,77.18,142.78,High
SKU00107,OEM Specialty Part,41.78,77.29,High
SKU00108,Accessory,72.49,123.23,Medium
SKU00109,Consumable,39.21,60.78,Medium
SKU00110,Commodity Part,38.14,51.49,Low
SKU00111,Commodity Part,34.08,46.01,Low
SKU00112,OEM Specialty Part,116.19,214.95,High
SKU00113,Commodity Part,47.54,64.18,Low
SKU00114,Heavy Equipment,3129.9,4006.27,Medium
SKU00115,Consumable,33.95,52.62,Medium
SKU00116,Accessory,11.97,20.35,Medium
SKU00117,Consumable,16.84,26.1,Medium
SKU00118,Accessory,15.76,26.79,Medium
SKU00119,Commodity Part,29.54,39.88,Low
SKU00120,Consumable,6.73,10.43,Medium
SKU00121,Heavy Equipment,895.77,1146.59,Medium
SKU00122,Commodity Part,54.17,73.13,Low
SKU00123,Heavy Equipment,1385.55,1773.5,Medium
SKU00124,Accessory,52.05,88.48,Medium
SKU00125,Commodity Part,47.44,64.04,Low
SKU00126,Commodity Part,37.07,50.04,Low
SKU00127,Consumable,10.25,15.89,Medium
SKU00128,Commodity Part,15.2,20.52,Low
SKU00129,Commodity Part,8.7,11.74,Low
SKU00130,Consumable,38.58,59.8,Medium
SKU00131,Consumable,20.77,32.19,Medium
SKU00132,Heavy Equipment,2014.21,2578.19,Medium
SKU00133,Commodity Part,41.22,55.65,Low
SKU00134,OEM Specialty Part,190.52,352.46,High
SKU00135,OEM Specialty Part,243.1,449.74,High
SKU00136,Commodity Part,22.44,30.29,Low
SKU00137,OEM Specialty Part,36.52,67.56,High
SKU00138,Accessory,84.64,143.89,Medium
SKU00139,OEM Specialty Part,187.17,346.26,High
SKU00140,OEM Specialty Part,127.79,236.41,High
SKU00141,Commodity Part,22.86,30.86,Low
SKU00142,Heavy Equipment,2080.98,2663.65,Medium
SKU00143,OEM Specialty Part,194.97,360.69,High
SKU00144,OEM Specialty Part,132.21,244.59,High
SKU00145,Consumable,38.77,60.09,Medium
