customer_id,industry,region,customer_type,service_model,annual_revenue_band
C0001,HVAC Contractor,Northeast,Regional Chain,Emergency Repair,Mid-Market
C0002,Commercial Kitchen Repair,Southwest,Regional Chain,Routine Replenishment,Mid-Market
C0003,Commercial Kitchen Repair,West,Regional Chain,Emergency Repair,Mid-Market
C0004,Plumbing Contractor,West,Local Independent,Emergency Repair,Small
C0005,Plumbing Contractor,Southeast,Local Independent,Routine Replenishment,Small
C0006,Pool/Spa Service,Midwest,Regional Chain,Routine Replenishment,Mid-Market
C0007,HVAC Contractor,Midwest,Local Independent,Mixed,Small
C0008,Commercial Kitchen Repair,Southeast,Regional Chain,Routine Replenishment,Mid-Market
C0009,Appliance Repair,Southeast,Local Independent,Mixed,Small
C0010,HVAC Contractor,Southeast,Local Independent,Routine Replenishment,Small
C0011,Plumbing Contractor,West,Local Independent,Mixed,Small
C0012,Pool/Spa Service,Southwest,Regional Chain,Routine Replenishment,Mid-Market
C0013,Commercial Kitchen Repair,West,Local Independent,Routine Replenishment,Small
C0014,Commercial Kitchen Repair,West,Local Independent,Mixed,Small
C0015,Commercial Kitchen Repair,West,Local Independent,Routine Replenishment,Small
C0016,Commercial Kitchen Repair,Northeast,Local Independent,Emergency Repair,Small
C0017,Plumbing Contractor,West,Local Independent,Mixed,Small
C0018,HVAC Contractor,Northeast,Regional Chain,Mixed,Mid-Market
C0019,Pool/Spa Service,Midwest,Local Independent,Emergency Repair,Small
C0020,Plumbing Contractor,Midwest,Regional Chain,Routine Replenishment,Mid-Market
C0021,Plumbing Contractor,Southeast,Regional Chain,Mixed,Mid-Market
C0022,Appliance Repair,Northeast,Local Independent,Mixed,Small
C0023,HVAC Contractor,Northeast,Local Independent,Mixed,Small
C0024,Pool/Spa Service,West,Local Independent,Routine Replenishment,Small
C0025,Commercial Kitchen Repair,Southeast,Local Independent,Mixed,Small
C0026,Commercial Kitchen Repair,Southeast,Local Independent,Routine Replenishment,Small
C0027,Plumbing Contractor,West,National Account,Mixed,Large
C0028,Pool/Spa Service,Northeast,National Account,Routine Replenishment,Large
C0029,Plumbing Contractor,West,Regional Chain,Mixed,Mid-Market
C0030,Plumbing Contractor,West,Local Independent,Routine Replenishment,Small
C0031,Plumbing Contractor,Midwest,Local Independent,Routine Replenishment,Small
C0032,Appliance Repair,Northeast,Local Independent,Mixed,Small
C0033,HVAC Contractor,Northeast,Local Independent,Routine Replenishment,Small
C0034,Plumbing Contractor,Southeast,Local Independent,Mixed,Small
C0035,Pool/Spa Service,Midwest,Local Independent,Routine Replenishment,Small
C0036,HVAC Contractor,Northeast,Local Independent,Routine Replenishment,Small
C0037,Pool/Spa Service,Midwest,Local Independent,Routine Replenishment,Small
C0038,Pool/Spa Service,Northeast,Local Independent,Routine Replenishment,Small
C0039,Appliance Repair,Midwest,Local Independent,Routine Replenishment,Small
C0040,Commercial Kitchen Repair,Northeast,Regional Chain,Emergency Repair,Mid-Market
C0041,HVAC Contractor,Southwest,National Account,Emergency Repair,Large
C0042,Commercial Kitchen Repair,Northeast,Local Independent,Mixed,Small
C0043,Commercial Kitchen Repair,Northeast,Regional Chain,Mixed,Mid-Market
C0044,Appliance Repair,Northeast,National Account,Mixed,Large
C0045,HVAC Contractor,West,Local Independent,Emergency Repair,Small
C0046,Pool/Spa Service,Northeast,Local Independent,Routine Replenishment,Small
C0047,Plumbing Contractor,Midwest,Local Independent,Emergency Repair,Small
C0048,Pool/Spa Service,Midwest,Local Independent,Mixed,Small
C0049,Commercial Kitchen Repair,Midwest,Regional Chain,Mixed,Mid-Market
C0050,Commercial Kitchen Repair,Southwest,Local Independent,Emergency Repair,Small
C0051,Commercial Kitchen Repair,West,Local Independent,Mixed,Small
C0052,HVAC Contractor,Southeast,Local Independent,Emergency Repair,Small
C0053,Appliance Repair,West,Local Independent,Emergency Repair,Small
C0054,Plumbing Contractor,Southeast,Regional Chain,Emergency Repair,Mid-Market
C0055,Plumbing Contractor,West,Local Independent,Emergency Repair,Small
C0056,HVAC Contractor,Midwest,Local Independent,Mixed,Small
C0057,Plumbing Contractor,Southwest,Local Independent,Mixed,Small
C0058,HVAC Contractor,West,Local Independent,Emergency Repair,Small
C0059,Commercial Kitchen Repair,Southwest,Local Independent,Routine Replenishment,Small
C0060,Commercial Kitchen Repair,West,Local Independent,Mixed,Small
C0061,Pool/Spa Service,Midwest,Local Independent,Mixed,Small
C0062,Commercial Kitchen Repair,Northeast,Local Independent,Routine Replenishment,Small
C0063,Appliance Repair,Midwest,Regional Chain,Emergency Repair,Mid-Market
C0064,Pool/Spa Service,Northeast,Local Independent,Routine Replenishment,Small
C0065,Plumbing Contractor,West,Local Independent,Routine Replenishment,Small
C0066,Appliance Repair,Southeast,Local Independent,Mixed,Small
C0067,Pool/Spa Service,Southeast,Regional Chain,Routine Replenishment,Mid-Market
C0068,Appliance Repair,Southeast,Local Independent,Mixed,Small
C0069,HVAC Contractor,Southwest,Local Independent,Emergency Repair,Small
C0070,Plumbing Contractor,Midwest,Local Independent,Routine Replenishment,Small
C0071,Commercial Kitchen Repair,West,Local Independent,Mixed,Small
C0072,HVAC Contractor,Midwest,Regional Chain,Routine Replenishment,Mid-Market
C0073,Plumbing Contractor,Southeast,Local Independent,Routine Replenishment,Small
C0074,HVAC Contractor,Northeast,Regional Chain,Mixed,Mid-Market
C0075,Commercial Kitchen Repair,Northeast,Regional Chain,Mixed,Mid-Market
C0076,Plumbing Contractor,Southeast,Local Independent,Routine Replenishment,Small
C0077,Appliance Repair,West,Regional Chain,Routine Replenishment,Mid-Market
C0078,Appliance Repair,Midwest,Local Independent,Routine Replenishment,Small
C0079,Plumbing Contractor,West,Regional Chain,Routine Replenishment,Mid-Market
C0080,Commercial Kitchen Repair,Northeast,Local Independent,Routine Replenishment,Small
C0081,Pool/Spa Service,Northeast,Local Independent,Emergency Repair,Small
C0082,Plumbing Contractor,West,Local Independent,Mixed,Small
C0083,HVAC Contractor,Northeast,Local Independent,Mixed,Small
C0084,Pool/Spa Service,Northeast,Local Independent,Mixed,Small
C0085,Commercial Kitchen Repair,Midwest,Regional Chain,Mixed,Mid-Market
C0086,Commercial Kitchen Repair,West,Local Independent,Mixed,Small
C0087,HVAC Contractor,Southwest,Local Independent,Mixed,Small
C0088,Appliance Repair,Northeast,Local Independent,Mixed,Small
C0089,Commercial Kitchen Repair,West,Local Independent,Routine Replenishment,Small
C0090,Pool/Spa Service,West,Local Independent,Routine Replenishment,Small
C0091,Plumbing Contractor,West,Regional Chain,Emergency Repair,Mid-Market
C0092,Pool/Spa Service,West,Local Independent,Routine Replenishment,Small
C0093,Pool/Spa Service,Southeast,Local Independent,Emergency Repair,Small
C0094,Appliance Repair,West,Local Independent,Emergency Repair,Small
C0095,Pool/Spa Service,Southeast,Local Independent,Routine Replenishment,Small
C0096,Appliance Repair,West,Local Independent,Routine Replenishment,Small
C0097,Appliance Repair,Midwest,Local Independent,Emergency Repair,Small
